visitor_id,num_pages,num_sessions
000010d4bf972815dd5eb7d845dd09bc90e7859c,25,1
0000b381643e9aaa9861bc24a641eb66b808229f,9,1
0001572175c6f202f893d069779ac6c9cdf5bb55,9,1
000294da522c670d51f8520d02d758372f39b646,3,1
0002d8244a02d686503ea2c8576eac03bdf43ba2,1,1
0002f6ec8509aa1df201b28030d2e095fb9d1f5e,277,2
0002fa595678fd30308e13067109043f80421e39,14,1
0003df6d7866c02a31f932009d14d379000a71b0,95,2
00040ea11b20a32505cff06c687244383d5bc7f2,2,1
0004fa2e318be66fd7defdcd87735855c16d2fdc,2,1
000577c75c35f5caa4d70630e0dd99e76b9dd8a6,6,1
0006e2ff54246d6a48db3938d0c136d61714ce27,86,4
000753f7c3a52a52278773e89b578690c22389bf,22,1
000847f6078f0da1c026523f119dbfff47f03b4e,1,1
000965969be7784d39e3da11c9e3f7b5a70fdda3,1,1
000a07a47a5d57fa50ca2797c1b7f098375737b3,117,1
000a5ade65304b7c35d73f02fcc502b8d1aac025,2,1
000aebd0e48d2f09af16a354fdb8c016de1f1ff5,7,1
000d9f739187bf1a0bf1c6db8d6016fc25c8f81f,75,1
000ea00ada514393da5764b5dc6bd49f3b475709,1,1
000fc763fa36f9b6ac994afdab2b5f40f630e463,4,1
001083b46b0c0c25ea5a170bd26bde5dc95c9a28,2,1
0013d548c684292d723630e1f76fb1b8006dd87b,26,3
00144b9fbe6a333346635b9f42bf0de2fd19d756,40,1
0014e5c4c60b4a3cea46b76609ad1690fc4c758c,3,1
00163ab897cb04fd8a8f41a087c8511a23a5810d,1,1
001680145ee52e6b24d1d8b78299dfa728f3d1bf,3,1
00174a9f00ab4c76ef4f8747be95d2b3682b0ed8,8,1
0017e224e78b85d45c8b91c1cdf51a9cdd3791ed,96,1
0017ece895676f54f71bebdd42cc5cd4ed21d7ee,3,1
0018439d7c4bb57e143698941d7caac2460effe9,2,1
001872897f2dfc15b7525d4b1f31770ace48b166,23,1
001891d29fb6df46d0c7687266234361c2e67b6b,22,3
001893e5c547aa88313a698ac312bc6867d05436,53,2
001aa016ed8818f37bee207bee4a6c26779f0c5a,2,1
001b33507a4c3c28f6204d685d69eca40db62e24,1,1
001ba585d5a9d4df20b210ce6bdb5a0867d10b6c,53,1
001d62c84252686e3cbe68a71c373e8c2adc3cb9,9,1
001f2a6ea462e9c066b4b30ba126618444d618d9,1,1
001ffcc466abf553650aa72a278f3902cd0b835b,33,1
00202c2d351d6776c5fc285b143379330a61e774,1,1
00208df14accb0eb8279f8b8036799130417710d,7,1
00219dad8be1a4e7497245dd54decf39c345ad7b,2,1
0021de046758658fde1c08f9a9e62e65279a2885,2,1
002241f5aec6cb49b6cff8ce1792aec0b80b1137,14,1
00249f94d63ef293cc77c74c58e9898934339c22,1,1
0024da8b2240fb1d2128fbe2487ad4c199f2628f,3,1
0025962846ce909bc383e369c49c46c46181ae60,7,1
002691a23f9e3898b68c1cb75bebacc3173ce6d5,61,2
0026c9de7d640fd3409a31a7bb36906fed0cb69d,11,1
00271217aba4fa982e97be3cc9277c4d75ed85f2,1,1
00272d33aa3af573bf1d3480566ecc36842fe92a,2,1
002748fb126a29bb2bb774fa30673211f73932f0,11,1
002806324a72d5b422927763be714eeffc8f6253,7,1
002827d46f039154488aa7362f29841c3c0b634e,5,1
0029ca57b4ef0a6707e038da9d684234b7fefc23,2,1
002a4c638db2285db1e0f910fa11ee13bcc1a518,78,3
002a8d606a200c797224b2e1ec5523164427c181,21,1
002b292d2ebe338c98220a2c3f85fff8ed1f4dc3,2,1
002cb8fb866faf1c36a89905d7dd3251301c981a,1,1
002ccc0dbb41a54525768aa6ba0914b34b096f00,69,1
002e107758b6bfd56da6107c65931b0e1f8ac00b,1,1
002e6ab1a2b236a099580ed2a097d8937d0efdfb,5,1
002eec466deb25aefaf4418cb2b8dd30bd5bb391,88,1
002f5ac960ae5264ab74787f398e9f66b8fb29cf,1,1
002f96116a38fa51d4f9d5ecb16cdd2b6111099a,1,1
00301852f5a8041a72d0298a53c4084e13b9a180,90,1
0030abb3778354969b7fc7c98bbf3309029db21a,15,1
0030b5fa5eeea1b91837a43ce0c8ce6dfe32f434,3,1
0030d3180e23a0ddeb37c2b37218e7688b26a84f,1,1
00328ada30110e6e25978369425e972653a27bb5,1,1
00337b8b95d4300441cead5338442dcee9b89069,70,1
003426d154e56393d1d8458577094a6023780b1f,2,1
0035565026bb14084bd863b3bddf1289ccf06cef,2,1
00359ee199a423014857b09cd0d6d22a1fa53cff,36,2
0035a62bd01703f6e000dc73e5b1aac90bf0a694,3,1
00364ff75c314eb1630c34576d5a7502afe039a1,7,1
0036bfd53ad6aa1525477f55d280aac8b6b221fa,5,1
00379f08f03309e6092b5e7fa2e5ba74dde6eaad,9,1
0037b26965eb52f337715d95a26b2a9722229ae2,5,1
0038613426460d429122d32397a51449802c981d,2,1
0038b3e739c8eff30b40eeca5c5cf70c9e58ad74,6,1
003916e02ade928b3f6dfda28c60a9da2e2005b5,3,1
003d42f077249bf22afd632366601644a6bbcfe9,2,1
003f3e45a4e883a5e80099979095b4ea9d1b55a6,108,3
003fe37685dc5e5e9a916a750f2c2758db287fe4,14,1
0043a02f806249064ee00ab4ea60a300f0268554,191,3
00459bd2ca95a616624c6c165a7f94865d244378,4,1
0045f29e39270ba5b555089ede22fa1b2768d9c1,4,1
00462cc1aecc994b2cb81d05d4683d8a0372349c,29,2
004739bb8c67ef4c5b2fe677d5457cffebfbb6ba,1,1
0047bbe908b794ee2e1b276ba9324f175e6a5683,5,2
0047e3a4a7a16e9498f2bc00b8d53df71cc425a1,1,1
004832ee73ad25d2496265d854d701039497a6c7,77,1
00486240a33b8347000cf55e17278d12da3b1f60,2,1
0049b8eeafdc8898d08356eba3178767b7732b0d,3,1
004a38487a15a8f5bd15208978891bd881fc0e2c,2,1
004b053667fd7a2638ce4917952bb3c111691c12,10,1
004be99d876e6b01a02b9133ab5c8cd399f9695c,4,1
004c15d4308b55c251190810aea3610b0052cc6e,5,1
004c3e55b1efb09a76f8741d30cc0395228a317d,5,1
004ef411f7abeb4f8e29a2f4c3a24f54e9a04cc2,9,1
004f98e7d6fea4260f693e59d0cddf62d2900469,3,1
00505044fedc4e9aa0d9b06a6c1ff51da8ae7afd,1,1
0050553913dccf54a1638e98cdbc3aa38472ebb3,4,1
0050905742967b72a5a24025c610f354c7a3691a,13,2
005102c265407c7802d74ac0e10c8ccff933fa22,2,1
00532a84148804a7c385e7e71280dff932e1720a,38,15
0053de6cd860a563fcdff109a712bdd0a7233c27,3,1
0055042b3936682011f858ea1316f8d719eb0c3b,1,1
005551936ec4b3d5a162cf57b94e5c465853aa97,11,1
0055ac29631bc01cef233e502850faed4d143641,4,1
00587af77e1ac862ee2fe79e631eecd0c7aa4e86,2,2
0058e6213a00310fc57e880fd8ca6114a5389f1a,3,1
005a3de2ca909dff4267731c3c4b62db3ad1681d,106,1
005a88c056169cabeab0793e0fc14ac5dda376a0,6,1
005bdb1649daa70c7cc4db49e11e5f3c83787a39,5,1
